Doc,Topic,Doc_ID
"Inascoltata da tanti, ma non da noi. Ci ha messo in guardia sull'avanzata dell'Islam. Buon viaggio Ida. http://www.ilgiornale.it/news/cronache/lantropologa-che-ci-aveva-messo-guardia-su-europa-e-islam-1227670.html …",64,32792
"Ecco la Rep. Islamica di DEWSBURY, la città inglese simbolo del fallimento del multiculturalismo forzato. VIDEO> https://www.facebook.com/salviniofficial/videos/10153539699298155/ …",64,32933
"#Salvini: ""scarponi a terra"" per l'ISIS? Certo non lo combatti con la Playstation! O aspettiamo che arrivino a Roma? #piazzapulita",64,32975
"#Salvini: scappano da Isis? CANCELLIAMOLO, con azioni militari. Ne abbiamo fatte di idiote come in Libia, mentre qui serve! #piazzapulita",64,32976
Parla il jihadista pentito: ecco come ci addestriamo in Siria per compiere ATTENTATI in Europa... VIDEO> https://www.facebook.com/salviniofficial/videos/10153525828498155/ … #Salvini,64,33000
"Ancora un attacco dei terroristi islamici contro cittadini occidentali, almeno 20 morti negli hotel in Burkina Faso. #Salvini",64,33242
"Ascoltate le LEZIONI dell'imam in tivù su come PICCHIARE UNA DONNA, ""senza lasciare segni"", per ""EDUCARLA"".  http://facebook.com/salviniofficia …",64,33244
#Salvini: che cosa dobbiamo ancora aspettare per usare la forza contro l'Isis in Libia e in Siria? @SkyTG24,64,33272
#Salvini: una preghiera per i morti di Istanbul. URGENZA di intervenire per CANCELLARE l'Isis! @SkyTG24 pic.twitter.com/PXN3mVoHJI,64,33274
"Ancora un attentato #ISIS, questa volta in #Libia. Decine di morti, e i terroristi controllano anche alcuni porti. pic.twitter.com/TMK9LbqcZZ",64,33333
#Salvini: Prima di fare una Grande Moschea voglio sapere: CHI PAGA? CHI PREGA? CHI PREDICA? IN CHE LINGUA? #InOndaLa7,64,33393
"#Salvini: Finchè l'Islam non sottoscriverà la parità dei diritti tra l'uomo e la donna e la libertà, non potrà avere spazi. #InOndaLa7",64,33397
#Salvini: Troppi interpreti dell'Islam applicano alla LEGGE quello che è un messaggio per l'ANIMA! #InOndaLa7,64,33398
"Libia, ISIS TAGLIA TESTA a donna accusata di essere una ""strega"". Pazzesco. In Occidente la ""caccia alle streghe"" finì 400 anni fa...",64,33451
